Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit
2000,Kids,Training,SuperRep Go,M,,,0.47,0.0,2024-03-09,Online,bengaluru,-770.45
2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,,0.0,2024-07-09,Retail,Hyd,-112.53
2002,Women,Soccer,Premier III,M,4.0,,,0.0,,Retail,Mumbai,3337.34
2003,Kids,Lifestyle,Blazer Mid,L,,9673.57,,0.0,04-10-2024,Online,Pune,3376.85
2004,Kids,Running,React Infinity,XL,,,,0.0,2024/09/12,Retail,Delhi,187.89
2005,Women,Training,Flex Trainer,M,1.0,7363.96,,0.0,,Retail,Delhi,1415.98
2006,Men,Training,SuperRep Go,M,,6819.78,,0.0,04-06-2025,Online,Bangalore,1802.09
2007,Kids,Training,SuperRep Go,M,1.0,,0.32,0.0,,Retail,Bangalore,2928.36
2008,Women,Soccer,Premier III,11,-1.0,,,0.0,11-10-2024,Online,Hyderabad,-731.18
2009,Men,Soccer,Mercurial Superfly,M,4.0,,,0.0,,Online,Pune,3929.61
2010,Kids,Lifestyle,Waffle One,L,1.0,7949.83,,0.0,2025/01/16,Online,Pune,1965.56
2011,Women,Training,Flex Trainer,L,-1.0,9586.08,,0.0,,Retail,Hyd,1667.08
2018,Kids,Lifestyle,Blazer Mid,,-1.0,,0.86,0.0,13-11-2024,Online,Delhi,2109.48
2013,Kids,Training,SuperRep Go,,,9671.05,,0.0,19-09-2024,Online,hyderbad,299.34
2014,Women,Running,React Infinity,11,,,,0.0,2025-04-12,Online,Bangalore,-1044.4
2015,Kids,Basketball,Air Jordan,,,3285.52,,0.0,31-05-2025,Retail,Kolkata,1193.21
2016,Women,Basketball,Air Jordan,M,1.0,9871.75,0.3,6910.22,,Retail,hyderbad,2452.69
2017,Women,Basketball,Air Jordan,9,4.0,,,0.0,17-03-2025,Retail,Delhi,1946.24
2018,Men,Training,Metcon 7,XL,0.0,,1.17,0.0,,Online,bengaluru,-966.89
2019,Kids,Running,Air Zoom,6,0.0,3424.06,0.32,0.0,2025/01/17,Online,Hyderabad,1915.24
2020,Kids,Soccer,Tiempo Legend,L,-1.0,,0.67,0.0,28-03-2025,Retail,Mumbai,439.96
2021,Men,Running,Free RN,L,-1.0,7086.7,0.66,-2409.48,2024/11/19,Retail,Hyd,-1120.49
2022,Women,Soccer,Premier III,M,,,,0.0,2024/09/24,Online,Pune,3427.16
2023,Men,Lifestyle,Waffle One,M,,5003.95,,0.0,10-01-2025,Online,Mumbai,1498.37
2024,Kids,Training,SuperRep Go,XL,0.0,,0.5,0.0,28-12-2024,Retail,Bangalore,1842.35
2025,Women,Basketball,Kyrie Flytrap,M,3.0,9820.5,,0.0,,Retail,Mumbai,1900.15
2026,Kids,Lifestyle,Blazer Mid,XL,1.0,,0.16,0.0,2024-08-10,Retail,Kolkata,2301.64
2027,Men,Basketball,Zoom Freak,XL,,,0.22,0.0,,Online,Pune,-138.74
2028,Men,Training,Flex Trainer,12,,3270.23,,0.0,,Retail,Delhi,-946.86
2029,Men,Training,ZoomX Invincible,12,0.0,,,0.0,2023-10-28,Online,Bangalore,-185.67
2030,Men,Soccer,Phantom GT,XL,,,1.05,0.0,2025/07/14,Retail,Hyd,-122.93
2031,Men,Soccer,Premier III,,4.0,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,350.7
2032,Women,Lifestyle,Blazer Mid,XL,1.0,,1.07,0.0,11-04-2025,Retail,Mumbai,-555.16
2033,Men,Soccer,Mercurial Superfly,XL,-1.0,,,0.0,,Retail,Kolkata,-1005.71
2034,Men,Basketball,Air Jordan,6,,6235.71,,0.0,30-04-2025,Retail,Delhi,-267.37
2035,Kids,Basketball,Zoom Freak,,4.0,,0.38,0.0,17-11-2024,Online,Bangalore,2914.83
2036,Men,Training,Metcon 7,,3.0,,,0.0,15-02-2025,Retail,Bangalore,-143.8
2037,Kids,Running,Pegasus Turbo,7,3.0,5653.14,1.01,-169.59,,Retail,Pune,2776.96
2038,Kids,Running,Free RN,,0.0,,0.83,0.0,,Online,Delhi,1163.21
2039,Women,Training,Flex Trainer,M,,2767.7,0.63,0.0,22-04-2025,Retail,hyderbad,-336.3
2002,Women,Basketball,Zoom Freak,XL,3.0,5075.22,,0.0,07-03-2025,Retail,Delhi,145.08
2041,Kids,Soccer,Tiempo Legend,12,,5553.88,,0.0,2025/03/05,Online,Hyd,2371.66
2042,Women,Basketball,Kyrie Flytrap,L,,,,0.0,2025/04/19,Online,hyderbad,-862.16
2043,Men,Soccer,Premier III,XL,,3492.89,0.77,0.0,2024-05-02,Retail,Delhi,3770.75
2044,Kids,Training,SuperRep Go,,,,,0.0,2023-09-06,Online,Delhi,2174.71
2045,Kids,Lifestyle,Dunk Low,XL,4.0,,,0.0,2025-04-06,Retail,Delhi,1833.94
2046,Kids,Running,Air Zoom,12,,,1.04,0.0,,Online,Kolkata,1284.33
2047,Women,Training,SuperRep Go,10,1.0,8577.75,,0.0,2024-06-13,Retail,Bangalore,2888.68
2048,Women,Basketball,Air Jordan,XL,,,,0.0,27-10-2024,Online,Bangalore,2875.86
2049,Kids,Soccer,Tiempo Legend,L,1.0,7767.2,,0.0,,Retail,Pune,311.48
2050,Men,Running,Air Zoom,L,1.0,,0.57,0.0,,Retail,Kolkata,682.12
2051,Women,Basketball,Air Jordan,XL,,,0.37,0.0,2024-01-05,Retail,Delhi,3135.98
2052,Men,Training,Flex Trainer,10,3.0,9155.96,,0.0,2024-10-08,Retail,Pune,2184.8
2053,Men,Lifestyle,Air Force 1,XL,3.0,6009.58,,0.0,2024/10/02,Online,Delhi,3384.92
2054,Women,Training,Flex Trainer,11,-1.0,,,0.0,2025/06/23,Online,Mumbai,-549.76
2055,Men,Basketball,Kyrie Flytrap,L,,,,0.0,26-10-2024,Online,hyderbad,-1078.76
2056,Men,Running,React Infinity,L,3.0,,,0.0,2024-05-31,Retail,Bangalore,-244.44
2048,Men,Lifestyle,Waffle One,M,3.0,6216.29,0.94,1118.93,2024/09/14,Online,Mumbai,-642.02
2058,Women,Training,Flex Trainer,11,,4985.92,,0.0,,Online,Kolkata,361.54
2059,Kids,Soccer,Phantom GT,,-1.0,9507.54,,0.0,2023-12-27,Retail,Delhi,291.28
2060,Men,Lifestyle,Waffle One,L,2.0,7979.26,,0.0,2024-07-11,Online,bengaluru,2821.59
2061,Women,Basketball,LeBron 20,L,,,,0.0,10-09-2024,Online,Mumbai,-501.68
2062,Men,Basketball,Air Jordan,,2.0,,,0.0,06-06-2025,Online,Bangalore,1823.91
2063,Women,Basketball,Air Jordan,M,1.0,9751.0,0.16,8190.84,06-09-2024,Retail,Pune,1130.31
2064,Kids,Running,React Infinity,L,2.0,7557.71,,0.0,2025/03/02,Online,Bangalore,3277.44
2065,Women,Lifestyle,Waffle One,10,,,0.78,0.0,2024-02-11,Retail,Hyd,21.58
2066,Men,Soccer,Phantom GT,XL,-1.0,5259.05,,0.0,2024-12-10,Online,Mumbai,1022.82
2067,Kids,Basketball,LeBron 20,L,4.0,3588.38,,0.0,06-05-2025,Online,Kolkata,161.5
2068,Men,Running,Free RN,,4.0,2553.29,,0.0,2024/12/05,Retail,Mumbai,984.9
2069,Women,Training,SuperRep Go,,,7502.24,,0.0,2025-07-14,Online,Pune,3554.58
2070,Kids,Running,React Infinity,L,,,,0.0,,Retail,Mumbai,1112.43
2071,Kids,Lifestyle,Blazer Mid,M,3.0,7849.81,0.49,12010.21,2025/01/12,Retail,Pune,-882.96
2072,Men,Training,Flex Trainer,,3.0,,,0.0,,Retail,Pune,3639.2
